Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Jeremiah 29:30	Then came the word of the LORD to Jeremiah, saying,
Jeremiah 41:13	Now it came to pass, that when all the people which were with Ishmael saw Johanan the son of Kareah, and all the captains of the forces that were with him, then they were glad.
1 Corinthians 6:7	Now therefore there is utterly a fault among you, because you go to law one with another. Why do you not rather take wrong? why do you not rather suffer yourselves to be defrauded?
1 Kings 18:11	And now you say, Go, tell your lord, Behold, Elijah is here.
Exodus 32:35	And the LORD plagued the people, because they made the calf, which Aaron made.
Numbers 7:32	One golden spoon of ten shekels, full of incense:
1 Kings 19:7	And the angel of the LORD came again the second time, and touched him, and said, Arise and eat; because the journey is too great for you.
1 Samuel 21:10	And David arose and fled that day for fear of Saul, and went to Achish the king of Gath.
1 Kings 10:4	And when the queen of Sheba had seen all Solomon’s wisdom, and the house that he had built,
Proverbs 17:20	He that has a fraudulent heart finds no good: and he that has a perverse tongue falls into mischief.
Psalm 119:130	The entrance of your words gives light; it gives understanding to the simple.
Hebrews 13:24	Salute all them that have the rule over you, and all the saints. They of Italy salute you.
Psalm 118:20	This gate of the LORD, into which the righteous shall enter.
Exodus 39:32	Thus was all the work of the tabernacle of the tent of the congregation finished: and the children of Israel did according to all that the LORD commanded Moses, so did they.
Acts 18:3	And because he was of the same craft, he stayed with them, and worked: for by their occupation they were tentmakers.
Ezra 10:32	Benjamin, Malluch, and Shemariah.
2 Corinthians 6:15	And what concord has Christ with Belial? or what part has he that believes with an infidel?
Revelation 18:1	And after these things I saw another angel come down from heaven, having great power; and the earth was lightened with his glory.
2 Kings 10:24	And when they went in to offer sacrifices and burnt offerings, Jehu appointed fourscore men without, and said, If any of the men whom I have brought into your hands escape, he that lets him go, his life shall be for the life of him.
Joshua 5:13	And it came to pass, when Joshua was by Jericho, that he lifted up his eyes and looked, and, behold, there stood a man over against him with his sword drawn in his hand: and Joshua went to him, and said to him, Are you for us, or for our adversaries?
Ezekiel 20:45	Moreover the word of the LORD came to me, saying,
Jeremiah 31:33	But this shall be the covenant that I will make with the house of Israel; After those days, said the LORD, I will put my law in their inward parts, and write it in their hearts; and will be their God, and they shall be my people.
Leviticus 12:4	And she shall then continue in the blood of her purifying three and thirty days; she shall touch no hallowed thing, nor come into the sanctuary, until the days of her purifying be fulfilled.
Psalm 100:5	For the LORD is good; his mercy is everlasting; and his truth endures to all generations.
Mark 1:42	And as soon as he had spoken, immediately the leprosy departed from him, and he was cleansed.
1 Chronicles 17:2	Then Nathan said to David, Do all that is in your heart; for God is with you.
Jeremiah 19:5	They have built also the high places of Baal, to burn their sons with fire for burnt offerings to Baal, which I commanded not, nor spoke it, neither came it into my mind:
Hosea 13:13	The sorrows of a travailing woman shall come on him: he is an unwise son; for he should not stay long in the place of the breaking forth of children.
Proverbs 10:20	The tongue of the just is as choice silver: the heart of the wicked is little worth.
Numbers 35:10	Speak to the children of Israel, and say to them, When you be come over Jordan into the land of Canaan;
Luke 24:39	Behold my hands and my feet, that it is I myself: handle me, and see; for a spirit has not flesh and bones, as you see me have.
1 Samuel 17:15	But David went and returned from Saul to feed his father’s sheep at Bethlehem.
1 Kings 10:10	And she gave the king an hundred and twenty talents of gold, and of spices very great store, and precious stones: there came no more such abundance of spices as these which the queen of Sheba gave to king Solomon.
Job 3:14	With kings and counsellors of the earth, which build desolate places for themselves;
Leviticus 22:7	And when the sun is down, he shall be clean, and shall afterward eat of the holy things; because it is his food.
Exodus 2:10	And the child grew, and she brought him to Pharaoh’s daughter, and he became her son. And she called his name Moses: and she said, Because I drew him out of the water.
Matthew 2:9	When they had heard the king, they departed; and, see, the star, which they saw in the east, went before them, till it came and stood over where the young child was.
Hosea 4:9	And there shall be, like people, like priest: and I will punish them for their ways, and reward them their doings.
1 Kings 2:40	And Shimei arose, and saddled his ass, and went to Gath to Achish to seek his servants: and Shimei went, and brought his servants from Gath.
Jeremiah 48:13	And Moab shall be ashamed of Chemosh, as the house of Israel was ashamed of Bethel their confidence.
2 Samuel 20:15	And they came and besieged him in Abel of Bethmaachah, and they cast up a bank against the city, and it stood in the trench: and all the people that were with Joab battered the wall, to throw it down.
Proverbs 12:14	A man shall be satisfied with good by the fruit of his mouth: and the recompense of a man’s hands shall be rendered to him.
Exodus 3:12	And he said, Certainly I will be with you; and this shall be a token to you, that I have sent you: When you have brought forth the people out of Egypt, you shall serve God on this mountain.
1 Kings 8:19	Nevertheless you shall not build the house; but your son that shall come forth out of your loins, he shall build the house to my name.
Isaiah 63:2	Why are you red in your apparel, and your garments like him that treads in the winefat?
Exodus 29:9	And you shall gird them with girdles, Aaron and his sons, and put the bonnets on them: and the priest’s office shall be theirs for a perpetual statute: and you shall consecrate Aaron and his sons.
Luke 9:44	Let these sayings sink down into your ears: for the Son of man shall be delivered into the hands of men.
Ezekiel 23:13	Then I saw that she was defiled, that they took both one way,
Daniel 5:20	But when his heart was lifted up, and his mind hardened in pride, he was deposed from his kingly throne, and they took his glory from him:
John 6:51	I am the living bread which came down from heaven: if any man eat of this bread, he shall live for ever: and the bread that I will give is my flesh, which I will give for the life of the world.
2 Kings 11:8	And you shall compass the king round about, every man with his weapons in his hand: and he that comes within the ranges, let him be slain: and be you with the king as he goes out and as he comes in.
Job 15:21	A dreadful sound is in his ears: in prosperity the destroyer shall come on him.
2 Kings 22:19	Because your heart was tender, and you have humbled yourself before the LORD, when you heard what I spoke against this place, and against the inhabitants thereof, that they should become a desolation and a curse, and have rent your clothes, and wept before me; I also have heard you, said the LORD.
1 Kings 2:45	And king Solomon shall be blessed, and the throne of David shall be established before the LORD for ever.
Genesis 23:4	I am a stranger and a sojourner with you: give me a possession of a burial plot with you, that I may bury my dead out of my sight.
Jeremiah 39:4	And it came to pass, that when Zedekiah the king of Judah saw them, and all the men of war, then they fled, and went forth out of the city by night, by the way of the king’s garden, by the gate between the two walls: and he went out the way of the plain.
2 Samuel 17:17	Now Jonathan and Ahimaaz stayed by Enrogel; for they might not be seen to come into the city: and a wench went and told them; and they went and told king David.
Numbers 2:4	And his host, and those that were numbered of them, were three score and fourteen thousand and six hundred.
2 Samuel 1:23	Saul and Jonathan were lovely and pleasant in their lives, and in their death they were not divided: they were swifter than eagles, they were stronger than lions.
Zechariah 2:10	Sing and rejoice, O daughter of Zion: for, see, I come, and I will dwell in the middle of you, said the LORD.
Exodus 12:31	And he called for Moses and Aaron by night, and said, Rise up, and get you forth from among my people, both you and the children of Israel; and go, serve the LORD, as you have said.
Genesis 28:7	And that Jacob obeyed his father and his mother, and was gone to Padanaram;
Proverbs 1:28	Then shall they call on me, but I will not answer; they shall seek me early, but they shall not find me:
Numbers 16:34	And all Israel that were round about them fled at the cry of them: for they said, Lest the earth swallow us up also.
Ezekiel 22:13	Behold, therefore I have smitten my hand at your dishonest gain which you have made, and at your blood which has been in the middle of you.
1 Peter 1:18	For as much as you know that you were not redeemed with corruptible things, as silver and gold, from your vain conversation received by tradition from your fathers;
Deuteronomy 3:15	And I gave Gilead to Machir.
Luke 20:9	Then began he to speak to the people this parable; A certain man planted a vineyard, and let it forth to farmers, and went into a far country for a long time.
Exodus 26:16	Ten cubits shall be the length of a board, and a cubit and a half shall be the breadth of one board.
Ezekiel 11:22	Then did the cherubim lift up their wings, and the wheels beside them; and the glory of the God of Israel was over them above.
Luke 19:34	And they said, The Lord has need of him.
Genesis 41:54	And the seven years of dearth began to come, according as Joseph had said: and the dearth was in all lands; but in all the land of Egypt there was bread.
Judges 18:11	And there went from there of the family of the Danites, out of Zorah and out of Eshtaol, six hundred men appointed with weapons of war.
Job 10:19	I should have been as though I had not been; I should have been carried from the womb to the grave.
Isaiah 36:18	Beware lest Hezekiah persuade you, saying, the LORD will deliver us. Has any of the gods of the nations delivered his land out of the hand of the king of Assyria?
Nehemiah 2:5	And I said to the king, If it please the king, and if your servant have found favor in your sight, that you would send me to Judah, to the city of my fathers’ sepulchers, that I may build it.
Leviticus 15:7	And he that touches the flesh of him that has the issue shall wash his clothes, and bathe himself in water, and be unclean until the even.
Deuteronomy 28:47	Because you served not the LORD your God with joyfulness, and with gladness of heart, for the abundance of all things;
Psalm 106:48	Blessed be the LORD God of Israel from everlasting to everlasting: and let all the people say, Amen. Praise you the LORD.
Luke 7:22	Then Jesus answering said to them, Go your way, and tell John what things you have seen and heard; how that the blind see, the lame walk, the lepers are cleansed, the deaf hear, the dead are raised, to the poor the gospel is preached.
Psalm 66:15	I will offer to you burnt sacrifices of fatted calves, with the incense of rams; I will offer bullocks with goats. Selah.
Song of Solomon 5:8	I charge you, O daughters of Jerusalem, if you find my beloved, that you tell him, that I am sick of love.
Psalm 45:6	Your throne, O God, is for ever and ever: the scepter of your kingdom is a right scepter.
Ezekiel 39:20	Thus you shall be filled at my table with horses and chariots, with mighty men, and with all men of war, said the Lord GOD.
Luke 5:31	And Jesus answering said to them, They that are whole need not a physician; but they that are sick.
Exodus 30:9	You shall offer no strange incense thereon, nor burnt sacrifice, nor meat offering; neither shall you pour drink offering thereon.
Leviticus 18:1	And the LORD spoke to Moses, saying,
Ezekiel 43:4	And the glory of the LORD came into the house by the way of the gate whose prospect is toward the east.
Exodus 28:2	And you shall make holy garments for Aaron your brother for glory and for beauty.
Proverbs 24:17	Rejoice not when your enemy falls, and let not your heart be glad when he stumbles:
1 Corinthians 6:1	Dare any of you, having a matter against another, go to law before the unjust, and not before the saints?
Numbers 6:19	And the priest shall take the sodden shoulder of the ram, and one unleavened cake out of the basket, and one unleavened wafer, and shall put them on the hands of the Nazarite, after the hair of his separation is shaven:
Isaiah 28:16	Therefore thus said the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believes shall not make haste.
Obadiah 1:21	And saviors shall come up on mount Zion to judge the mount of Esau; and the kingdom shall be the LORD’s.
Jeremiah 22:7	And I will prepare destroyers against you, every one with his weapons: and they shall cut down your choice cedars, and cast them into the fire.
Ephesians 5:33	Nevertheless let every one of you in particular so love his wife even as himself; and the wife see that she reverence her husband.
Genesis 22:13	And Abraham lifted up his eyes, and looked, and behold behind him a ram caught in a thicket by his horns: and Abraham went and took the ram, and offered him up for a burnt offering in the stead of his son.
John 13:12	So after he had washed their feet, and had taken his garments, and was set down again, he said to them, Know you what I have done to you?
Jeremiah 12:9	My heritage is to me as a speckled bird, the birds round about are against her; come you, assemble all the beasts of the field, come to devour.
1 Chronicles 11:7	And David dwelled in the castle; therefore they called it the city of David.
Joshua 13:26	And from Heshbon to Ramathmizpeh, and Betonim; and from Mahanaim to the border of Debir;
Job 10:14	If I sin, then you mark me, and you will not acquit me from my iniquity.
1 Chronicles 22:17	David also commanded all the princes of Israel to help Solomon his son, saying,
2 Chronicles 4:6	He made also ten lavers, and put five on the right hand, and five on the left, to wash in them: such things as they offered for the burnt offering they washed in them; but the sea was for the priests to wash in.
Haggai 2:11	Thus said the LORD of hosts; Ask now the priests concerning the law, saying,
1 Thessalonians 3:10	Night and day praying exceedingly that we might see your face, and might perfect that which is lacking in your faith?
Job 18:6	The light shall be dark in his tabernacle, and his candle shall be put out with him.
Joshua 9:21	And the princes said to them, Let them live; but let them be hewers of wood and drawers of water to all the congregation; as the princes had promised them.
Numbers 15:1	And the LORD spoke to Moses, saying,
Deuteronomy 2:5	Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir to Esau for a possession.
Numbers 32:16	And they came near to him, and said, We will build sheepfolds here for our cattle, and cities for our little ones:
Isaiah 22:4	Therefore said I, Look away from me; I will weep bitterly, labor not to comfort me, because of the spoiling of the daughter of my people.
2 Kings 19:14	And Hezekiah received the letter of the hand of the messengers, and read it: and Hezekiah went up into the house of the LORD, and spread it before the LORD.
Galatians 2:5	To whom we gave place by subjection, no, not for an hour; that the truth of the gospel might continue with you.
Hosea 2:16	And it shall be at that day, said the LORD, that you shall call me Ishi; and shall call me no more Baali.
Ezekiel 39:11	And it shall come to pass in that day, that I will give to Gog a place there of graves in Israel, the valley of the passengers on the east of the sea: and it shall stop the noses of the passengers: and there shall they bury Gog and all his multitude: and they shall call it The valley of Hamongog.
Ecclesiastes 1:1	The words of the Preacher, the son of David, king in Jerusalem.
Daniel 10:16	And, behold, one like the similitude of the sons of men touched my lips: then I opened my mouth, and spoke, and said to him that stood before me, O my lord, by the vision my sorrows are turned on me, and I have retained no strength.
Genesis 37:19	And they said one to another, Behold, this dreamer comes.
Psalm 82:8	Arise, O God, judge the earth: for you shall inherit all nations.
1 Corinthians 15:45	And so it is written, The first man Adam was made a living soul; the last Adam was made a quickening spirit.
Exodus 29:19	And you shall take the other ram; and Aaron and his sons shall put their hands on the head of the ram.
Genesis 4:11	And now are you cursed from the earth, which has opened her mouth to receive your brother’s blood from your hand;
Nehemiah 10:20	Magpiash, Meshullam, Hezir,
1 Thessalonians 5:14	Now we exhort you, brothers, warn them that are unruly, comfort the feebleminded, support the weak, be patient toward all men.
Psalm 105:5	Remember his marvelous works that he has done; his wonders, and the judgments of his mouth;
2 Samuel 14:16	For the king will hear, to deliver his handmaid out of the hand of the man that would destroy me and my son together out of the inheritance of God.
Hebrews 6:20	Where the forerunner is for us entered, even Jesus, made an high priest for ever after the order of Melchisedec.
Jeremiah 48:45	They that fled stood under the shadow of Heshbon because of the force: but a fire shall come forth out of Heshbon, and a flame from the middle of Sihon, and shall devour the corner of Moab, and the crown of the head of the tumultuous ones.
2 Chronicles 33:23	And humbled not himself before the LORD, as Manasseh his father had humbled himself; but Amon trespassed more and more.
Song of Solomon 6:11	I went down into the garden of nuts to see the fruits of the valley, and to see whether the vine flourished and the pomegranates budded.
Proverbs 29:17	Correct your son, and he shall give you rest; yes, he shall give delight to your soul.
Acts 22:19	And I said, Lord, they know that I imprisoned and beat in every synagogue them that believed on you:
Zechariah 6:15	And they that are far off shall come and build in the temple of the LORD, and you shall know that the LORD of hosts has sent me to you. And this shall come to pass, if you will diligently obey the voice of the LORD your God.
Galatians 6:5	For every man shall bear his own burden.
Proverbs 13:6	Righteousness keeps him that is upright in the way: but wickedness overthrows the sinner.
1 Corinthians 12:15	If the foot shall say, Because I am not the hand, I am not of the body; is it therefore not of the body?
Jeremiah 26:13	Therefore now amend your ways and your doings, and obey the voice of the LORD your God; and the LORD will repent him of the evil that he has pronounced against you.
1 Peter 1:8	Whom having not seen, you love; in whom, though now you see him not, yet believing, you rejoice with joy unspeakable and full of glory:
Lamentations 3:40	Let us search and try our ways, and turn again to the LORD.
Ezra 10:26	And of the sons of Elam; Mattaniah, Zechariah, and Jehiel, and Abdi, and Jeremoth, and Eliah.
2 Kings 15:2	Sixteen years old was he when he began to reign, and he reigned two and fifty years in Jerusalem. And his mother’s name was Jecholiah of Jerusalem.
Exodus 3:22	But every woman shall borrow of her neighbor, and of her that sojournes in her house, jewels of silver, and jewels of gold, and raiment: and you shall put them on your sons, and on your daughters; and you shall spoil the Egyptians.
Numbers 32:8	Thus did your fathers, when I sent them from Kadeshbarnea to see the land.
Esther 8:4	Then the king held out the golden scepter toward Esther. So Esther arose, and stood before the king,
Luke 7:28	For I say to you, Among those that are born of women there is not a greater prophet than John the Baptist: but he that is least in the kingdom of God is greater than he.
Leviticus 16:17	And there shall be no man in the tabernacle of the congregation when he goes in to make an atonement in the holy place, until he come out, and have made an atonement for himself, and for his household, and for all the congregation of Israel.
Zechariah 11:12	And I said to them, If you think good, give me my price; and if not, forbear. So they weighed for my price thirty pieces of silver.
Ezra 10:28	Of the sons also of Bebai; Jehohanan, Hananiah, Zabbai, and Athlai.
Numbers 20:18	And Edom said to him, You shall not pass by me, lest I come out against you with the sword.
Luke 15:20	And he arose, and came to his father. But when he was yet a great way off, his father saw him, and had compassion, and ran, and fell on his neck, and kissed him.
Deuteronomy 28:38	You shall carry much seed out into the field, and shall gather but little in; for the locust shall consume it.
1 Chronicles 5:25	And they transgressed against the God of their fathers, and went a whoring after the gods of the people of the land, whom God destroyed before them.
Jeremiah 32:28	Therefore thus said the LORD; Behold, I will give this city into the hand of the Chaldeans, and into the hand of Nebuchadrezzar king of Babylon, and he shall take it:
Psalm 29:1	Give to the LORD, O you mighty, give to the LORD glory and strength.
Ecclesiastes 5:6	Suffer not your mouth to cause your flesh to sin; neither say you before the angel, that it was an error: why should God be angry at your voice, and destroy the work of your hands?
Nehemiah 7:22	The children of Hashum, three hundred twenty and eight.
Luke 5:39	No man also having drunk old wine straightway desires new: for he said, The old is better.
Genesis 13:4	To the place of the altar, which he had make there at the first: and there Abram called on the name of the LORD.
Psalm 86:13	For great is your mercy toward me: and you have delivered my soul from the lowest hell.
2 Chronicles 19:8	Moreover in Jerusalem did Jehoshaphat set of the Levites, and of the priests, and of the chief of the fathers of Israel, for the judgment of the LORD, and for controversies, when they returned to Jerusalem.
Psalm 136:7	To him that made great lights: for his mercy endures for ever:
Jeremiah 36:4	Then Jeremiah called Baruch the son of Neriah: and Baruch wrote from the mouth of Jeremiah all the words of the LORD, which he had spoken to him, on a roll of a book.
Numbers 8:13	And you shall set the Levites before Aaron, and before his sons, and offer them for an offering to the LORD.
Matthew 27:23	And the governor said, Why, what evil has he done? But they cried out the more, saying, Let him be crucified.
1 John 3:12	Not as Cain, who was of that wicked one, and slew his brother. And why slew he him? Because his own works were evil, and his brother’s righteous.
Exodus 33:1	And the LORD said to Moses, Depart, and go up hence, you and the people which you have brought up out of the land of Egypt, to the land which I swore to Abraham, to Isaac, and to Jacob, saying, To your seed will I give it:
2 Samuel 1:20	Tell it not in Gath, publish it not in the streets of Askelon; lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised triumph.
Psalm 119:157	Many are my persecutors and my enemies; yet do I not decline from your testimonies.
Leviticus 14:55	And for the leprosy of a garment, and of a house,
Exodus 22:6	If fire break out, and catch in thorns, so that the stacks of corn, or the standing corn, or the field, be consumed therewith; he that kindled the fire shall surely make restitution.
Joshua 15:13	And to Caleb the son of Jephunneh he gave a part among the children of Judah, according to the commandment of the LORD to Joshua, even the city of Arba the father of Anak, which city is Hebron.
1 Kings 13:31	And it came to pass, after he had buried him, that he spoke to his sons, saying, When I am dead, then bury me in the sepulcher wherein the man of God is buried; lay my bones beside his bones:
Isaiah 42:22	But this is a people robbed and spoiled; they are all of them snared in holes, and they are hid in prison houses: they are for a prey, and none delivers; for a spoil, and none said, Restore.
Deuteronomy 22:23	If a damsel that is a virgin be betrothed to an husband, and a man find her in the city, and lie with her;
1 Kings 18:1	And it came to pass after many days, that the word of the LORD came to Elijah in the third year, saying, Go, show yourself to Ahab; and I will send rain on the earth.
3 John 1:7	Because that for his name’s sake they went forth, taking nothing of the Gentiles.
Exodus 28:41	And you shall put them on Aaron your brother, and his sons with him; and shall anoint them, and consecrate them, and sanctify them, that they may minister to me in the priest’s office.
Leviticus 19:35	You shall do no unrighteousness in judgment, in length, in weight, or in measure.
2 Chronicles 28:21	For Ahaz took away a portion out of the house of the LORD, and out of the house of the king, and of the princes, and gave it to the king of Assyria: but he helped him not.
1 Samuel 16:11	And Samuel said to Jesse, Are here all your children? And he said, There remains yet the youngest, and, behold, he keeps the sheep. And Samuel said to Jesse, Send and fetch him: for we will not sit down till he come here.
Ephesians 2:2	Wherein in time past you walked according to the course of this world, according to the prince of the power of the air, the spirit that now works in the children of disobedience:
Hosea 6:11	Also, O Judah, he has set an harvest for you, when I returned the captivity of my people.
2 Chronicles 34:26	And as for the king of Judah, who sent you to inquire of the LORD, so shall you say to him, Thus said the LORD God of Israel concerning the words which you have heard;
1 Samuel 2:31	Behold, the days come, that I will cut off your arm, and the arm of your father’s house, that there shall not be an old man in your house.
Leviticus 13:43	Then the priest shall look on it: and, behold, if the rising of the sore be white reddish in his bald head, or in his bald forehead, as the leprosy appears in the skin of the flesh;
Genesis 43:30	And Joseph made haste; for his bowels did yearn on his brother: and he sought where to weep; and he entered into his chamber, and wept there.
Leviticus 15:1	And the LORD spoke to Moses and to Aaron, saying,
Numbers 8:8	Then let them take a young bullock with his meat offering, even fine flour mingled with oil, and another young bullock shall you take for a sin offering.
2 Samuel 17:3	And I will bring back all the people to you: the man whom you seek is as if all returned: so all the people shall be in peace.
Matthew 21:15	And when the chief priests and scribes saw the wonderful things that he did, and the children crying in the temple, and saying, Hosanna to the son of David; they were sore displeased,
Exodus 19:4	You have seen what I did to the Egyptians, and how I bore you on eagles’ wings, and brought you to myself.
Mark 10:35	And James and John, the sons of Zebedee, come to him, saying, Master, we would that you should do for us whatever we shall desire.
Judges 2:11	And the children of Israel did evil in the sight of the LORD, and served Baalim:
Job 40:15	Behold now behemoth, which I made with you; he eats grass as an ox.
1 Samuel 14:30	How much more, if haply the people had eaten freely to day of the spoil of their enemies which they found? for had there not been now a much greater slaughter among the Philistines?
Jeremiah 25:26	And all the kings of the north, far and near, one with another, and all the kingdoms of the world, which are on the face of the earth: and the king of Sheshach shall drink after them.
Mark 2:13	And he went forth again by the sea side; and all the multitude resorted to him, and he taught them.
Exodus 9:8	And the LORD said to Moses and to Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh.
Nehemiah 4:11	And our adversaries said, They shall not know, neither see, till we come in the middle among them, and slay them, and cause the work to cease.
Jeremiah 17:10	I the LORD search the heart, I try the reins, even to give every man according to his ways, and according to the fruit of his doings.
Daniel 8:5	And as I was considering, behold, an he goat came from the west on the face of the whole earth, and touched not the ground: and the goat had a notable horn between his eyes.
1 Chronicles 18:17	And Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king.
Psalm 119:36	Incline my heart to your testimonies, and not to covetousness.
1 Chronicles 8:37	And Moza begat Binea: Rapha was his son, Eleasah his son, Azel his son:
Isaiah 14:2	And the people shall take them, and bring them to their place: and the house of Israel shall possess them in the land of the LORD for servants and handmaids: and they shall take them captives, whose captives they were; and they shall rule over their oppressors.
2 Chronicles 26:18	And they withstood Uzziah the king, and said to him, It appertains not to you, Uzziah, to burn incense to the LORD, but to the priests the sons of Aaron, that are consecrated to burn incense: go out of the sanctuary; for you have trespassed; neither shall it be for your honor from the LORD God.
Ecclesiastes 2:16	For there is no remembrance of the wise more than of the fool for ever; seeing that which now is in the days to come shall all be forgotten. And how dies the wise man? as the fool.
1 Kings 10:29	And a chariot came up and went out of Egypt for six hundred shekels of silver, and an horse for an hundred and fifty: and so for all the kings of the Hittites, and for the kings of Syria, did they bring them out by their means.
Titus 2:9	Exhort servants to be obedient to their own masters, and to please them well in all things; not answering again;
Proverbs 26:16	The sluggard is wiser in his own conceit than seven men that can render a reason.
Proverbs 21:28	A false witness shall perish: but the man that hears speaks constantly.
John 5:45	Do not think that I will accuse you to the Father: there is one that accuses you, even Moses, in whom you trust.
Genesis 9:17	And God said to Noah, This is the token of the covenant, which I have established between me and all flesh that is on the earth.
Luke 3:22	And the Holy Ghost descended in a bodily shape like a dove on him, and a voice came from heaven, which said, You are my beloved Son; in you I am well pleased.
Romans 1:13	Now I would not have you ignorant, brothers, that oftentimes I purposed to come to you, (but was let till now,) that I might have some fruit among you also, even as among other Gentiles.
2 Samuel 19:40	Then the king went on to Gilgal, and Chimham went on with him: and all the people of Judah conducted the king, and also half the people of Israel.
Psalm 74:12	For God is my King of old, working salvation in the middle of the earth.
1 Chronicles 15:19	So the singers, Heman, Asaph, and Ethan, were appointed to sound with cymbals of brass;
Mark 14:50	And they all forsook him, and fled.
1 Timothy 2:2	For kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.
